id,libraryName,category,numFindings
137,OkHttp,Code Quality,0
138,OkHttp,Cryptography,372
139,Tomitribe :: HTTP Signatures,Code Quality,0
140,Tomitribe :: HTTP Signatures,Cryptography,143
141,androidx.security:security-crypto,Code Quality,0
142,androidx.security:security-crypto,Cryptography,6
143,Mozilla Rhino,Code Quality,0
144,Mozilla Rhino,Cryptography,12
145,getdown,Code Quality,0
146,getdown,Cryptography,33
147,POJava Utilities,Code Quality,0
148,POJava Utilities,Cryptography,2
149,paypal-android-sdk,Code Quality,0
150,paypal-android-sdk,Cryptography,179
151,jose4j,Code Quality,0
152,jose4j,Cryptography,127
153,com.google.android.gms:auth-api-impl,Code Quality,0
154,com.google.android.gms:auth-api-impl,Cryptography,18
155,androidx.test:runner,Code Quality,0
156,androidx.test:runner,Cryptography,1
157,Apache Commons VFS,Code Quality,0
158,Apache Commons VFS,Cryptography,12
159,Robospice - Persistence Module,Code Quality,0
160,Robospice - Persistence Module,Cryptography,2
161,Jetty :: Utilities,Code Quality,0
162,Jetty :: Utilities,Cryptography,4
163,com.google.android.gms:play-services-ads-lite,Code Quality,0
164,com.google.android.gms:play-services-ads-lite,Cryptography,888
165,NetworkBench NewLens Android Agent SDK,Code Quality,0
166,NetworkBench NewLens Android Agent SDK,Cryptography,22
167,androidx.transition:transition,Code Quality,0
168,androidx.transition:transition,Cryptography,2
169,Not Yet Commons SSL,Code Quality,0
170,Not Yet Commons SSL,Cryptography,70
171,Aliyun Open Services SDK for Java,Code Quality,0
172,Aliyun Open Services SDK for Java,Cryptography,2
173,Apache HttpClient Cache,Code Quality,0
174,Apache HttpClient Cache,Cryptography,3
175,AWS SDK for Android - Amazon Cognito Identity Provider ASF,Code Quality,0
176,AWS SDK for Android - Amazon Cognito Identity Provider ASF,Cryptography,8
177,Parse-Android,Code Quality,0
178,Parse-Android,Cryptography,22
179,Glide,Code Quality,0
180,Glide,Cryptography,148
181,Trilead SSH-2 Java Library,Code Quality,0
182,Trilead SSH-2 Java Library,Cryptography,17
183,Apache Ant Core,Code Quality,0
184,Apache Ant Core,Cryptography,6
185,AdobeMobileCoreSdk,Code Quality,0
186,AdobeMobileCoreSdk,Cryptography,5
187,Java-WebSocket,Code Quality,0
188,Java-WebSocket,Cryptography,34
189,DroidParts,Code Quality,0
190,DroidParts,Cryptography,4
191,com.couchbase.lite:couchbase-lite-java-core,Code Quality,0
192,com.couchbase.lite:couchbase-lite-java-core,Cryptography,21
193,com.google.gwt:gwt-user,Code Quality,0
194,com.google.gwt:gwt-user,Cryptography,1
195,Instabug Core Library,Code Quality,0
196,Instabug Core Library,Cryptography,4
197,AppsFlyer SDK,Code Quality,0
198,AppsFlyer SDK,Cryptography,313
199,RoboGuice,Code Quality,0
200,RoboGuice,Cryptography,11
201,libGDX Tools,Code Quality,0
202,libGDX Tools,Cryptography,2
203,Pollexor,Code Quality,0
204,Pollexor,Cryptography,21
205,Guava: Google Core Libraries for Java,Code Quality,0
206,Guava: Google Core Libraries for Java,Cryptography,546
207,AWS Java SDK for Amazon SQS,Code Quality,0
208,AWS Java SDK for Amazon SQS,Cryptography,1
209,commons-net:commons-net,Code Quality,0
210,commons-net:commons-net,Cryptography,21
211,Apollo GraphQL Runtime,Code Quality,0
212,Apollo GraphQL Runtime,Cryptography,6
213,Jetty :: Aggregate :: All Server,Code Quality,0
214,Jetty :: Aggregate :: All Server,Cryptography,4
215,core,Code Quality,0
216,core,Cryptography,3
217,qiniu-android-sdk library,Code Quality,0
218,qiniu-android-sdk library,Cryptography,3
219,AWS Java SDK for Amazon S3,Code Quality,0
220,AWS Java SDK for Amazon S3,Cryptography,486
221,Picasso,Code Quality,0
222,Picasso,Cryptography,1
223,com.neovisionaries:nv-websocket-client,Code Quality,0
224,com.neovisionaries:nv-websocket-client,Cryptography,1
225,AppAuth for Android,Code Quality,0
226,AppAuth for Android,Cryptography,4
227,Microsoft Azure Storage Client SDK,Code Quality,0
228,Microsoft Azure Storage Client SDK,Cryptography,10
229,PubNub Java SDK,Code Quality,0
230,PubNub Java SDK,Cryptography,35
231,Stetho,Code Quality,0
232,Stetho,Cryptography,24
233,Pushwoosh,Code Quality,0
234,Pushwoosh,Cryptography,3
235,commons-io:commons-io,Code Quality,0
236,commons-io:commons-io,Cryptography,3
237,New Relic Android Class Rewriter,Code Quality,0
238,New Relic Android Class Rewriter,Cryptography,7
239,Firebase JVM Client Library,Code Quality,0
240,Firebase JVM Client Library,Cryptography,13
241,com.google.android.gms:play-services-basement,Code Quality,0
242,com.google.android.gms:play-services-basement,Cryptography,2
243,JCodec,Code Quality,0
244,JCodec,Cryptography,2
245,mixpanel-android,Code Quality,0
246,mixpanel-android,Cryptography,26
247,twitter4j,Code Quality,0
248,twitter4j,Cryptography,81
249,Google OAuth Client Library for Java,Code Quality,0
250,Google OAuth Client Library for Java,Cryptography,34
251,io.fabric.sdk.android:fabric,Code Quality,0
252,io.fabric.sdk.android:fabric,Cryptography,786
253,Android-Volley Library,Code Quality,0
254,Android-Volley Library,Cryptography,27
255,androidx.core:core,Code Quality,0
256,androidx.core:core,Cryptography,3
257,com.android.tools.build:builder,Code Quality,0
258,com.android.tools.build:builder,Cryptography,2
259,EdDSA-Java,Code Quality,0
260,EdDSA-Java,Cryptography,4
261,Official Dropbox Java SDK,Code Quality,0
262,Official Dropbox Java SDK,Cryptography,2
263,org.chromium.net:cronet-api,Code Quality,0
264,org.chromium.net:cronet-api,Cryptography,18
265,dnsjava,Code Quality,0
266,dnsjava,Cryptography,33
267,iText-4.2.1,Code Quality,0
268,iText-4.2.1,Cryptography,41
269,com.google.ar:core,Code Quality,0
270,com.google.ar:core,Cryptography,25
271,Core mParticle SDK supporting only server-side integrations.,Code Quality,0
272,Core mParticle SDK supporting only server-side integrations.,Cryptography,2
273,com.google.android.gms:play-services-measurement-base,Code Quality,0
274,com.google.android.gms:play-services-measurement-base,Cryptography,200
275,jCIFS,Code Quality,0
276,jCIFS,Cryptography,26
277,io.grpc:grpc-okhttp,Code Quality,0
278,io.grpc:grpc-okhttp,Cryptography,39
279,com.google.android.gms:play-services-ads-base,Code Quality,0
280,com.google.android.gms:play-services-ads-base,Cryptography,28279
281,jBCrypt,Code Quality,0
282,jBCrypt,Cryptography,1
283,AWS SDK for Java - Core,Code Quality,0
284,AWS SDK for Java - Core,Cryptography,216
285,OkHTTP3,Code Quality,0
286,OkHTTP3,Cryptography,536
287,Facebook-Core-Android-SDK,Code Quality,0
288,Facebook-Core-Android-SDK,Cryptography,1898
289,com.google.android.play:core,Code Quality,0
290,com.google.android.play:core,Cryptography,276
291,urbanairship-core,Code Quality,0
292,urbanairship-core,Cryptography,29
293,jboss:javassist,Code Quality,0
294,jboss:javassist,Cryptography,1
295,greenrobot-essentials,Code Quality,0
296,greenrobot-essentials,Cryptography,2
297,Netty/All-in-One,Code Quality,0
298,Netty/All-in-One,Cryptography,6
299,com.google.android.gms:play-services-clearcut,Code Quality,0
300,com.google.android.gms:play-services-clearcut,Cryptography,1
301,Jetty :: Security,Code Quality,0
302,Jetty :: Security,Cryptography,4
303,Kryo,Code Quality,0
304,Kryo,Cryptography,9
305,ktor-utils,Code Quality,0
306,ktor-utils,Cryptography,6
307,Axiom API,Code Quality,0
308,Axiom API,Cryptography,1
