id,jobId,algorithm,count,libraryPercentage
312,3928,SHA1,1,1
313,3928,AES/ECB/NOPADDING,2,1
314,3928,AES/CTR/NoPadding,2,1
315,3928,HMAC,1,1
316,3928,false,1,1
317,3928,SHA,1,0
318,3928,AES,6,1
319,3928,AES/CTR/NOPADDING,1,1
320,3928,sha1,2,1
321,3928,0,1,1
322,3928,AES/ECB/NoPadding,2,1
323,3928,HmacSHA1,2,0
324,3928,SHA-256,2,1
325,3928,EC,2,1
326,3928,AES/CBC/PKCS5Padding,1,1
327,3928,MD5,10,0
328,3928,AES/GCM/NoPadding,2,1
329,3091,RSA,2,0
330,3091,RSA/ECB/PKCS1Padding,1,0
331,3091,SHA-256,1,0
332,3091,RSA/None/PKCS1Padding,1,0
333,3091,AES/CBC/PKCS5Padding,2,0
334,3091,MD5,2,0
335,3091,AES,1,0
336,3646,SHA512withRSA,4,1
337,3646,N/A,4,1
338,3646,n/a,4,1
339,3646,ECDH,4,1
340,3646,SHA1,3,0
341,3646,SHA-1,4,0
342,3646,AES/CTR/NoPadding,3,0
343,3646,HMAC,1,1
344,3646,SHA256withRSAandMGF1,4,1
345,3646,SHA384withRSA,4,1
346,3646,HmacSHA512,6,1
347,3646,SHA384withRSAandMGF1,4,1
348,3646,RSA/ECB/PKCS1Padding,4,1
349,3646,HmacSHA256,10,1
350,3646,HmacSHA1,4,1
351,3646,SHA512withRSAandMGF1,4,1
352,3646,AES/CBC/PKCS5Padding,6,1
353,3646,EC,2,1
354,3646,RSA,2,1
355,3646,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,4,1
356,3646,SHA384withECDSA,4,1
357,3646,AES,6,0
358,3646,sha1,5,1
359,3646,SHA512withECDSA,4,1
360,3646,SHA256withECDSA,4,1
361,3646,AESWrap,4,1
362,3646,HmacSHA384,4,1
363,3646,SHA256withRSA,4,1
364,3646,SHA-256,10,0
365,3646,SHA-512,1,1
366,3646,MD5,8,0
367,3646,AES/GCM/NoPadding,4,1
368,3646,md5,3,1
369,3693,sha1,5,1
370,3693,SHA-1,2,1
371,3693,HmacSHA256,4,1
372,3693,HmacSHA1,4,1
373,3693,SHA-256,4,0
374,3693,HmacSHA512,2,1
375,3693,AES/CBC/PKCS7Padding,1,0
376,3693,SHA-512,1,1
377,3693,md5,2,1
378,3693,MD5,5,0
379,3693,AES,1,0
380,2353,RC4,2,0
381,2353,[],1,1
382,2353,{},1,1
383,2353,SHA-1,4,0
384,2353,SHA-384,1,0
385,2353,AES/CTR/NoPadding,3,1
386,2353,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,3,1
387,2353,SHA,2,0
388,2353,AES,5,1
389,2353,DES,1,0
390,2353,Null cipher,1,1
391,2353,CRC,1,0
392,2353,HmacSHA1,4,0
393,2353,AESWrap,2,1
394,2353,DES/ECB/NoPadding,4,0
395,2353,SHA-256,4,0
396,2353,AES/CBC/PKCS5Padding,6,1
397,2353,SHA-512,1,0
398,2353,md5,1,0
399,2353,MD5,16,0
400,2353,AES/GCM/NoPadding,4,1
401,2385,0,1,1
402,2385,RSA,3,0
403,2385,[],1,1
404,2385,{},1,1
405,2385,SHA-1,1,0
406,2385,false,1,1
407,2385,AES/CBC/PKCS5Padding,1,1
408,2385,MD5,6,0
409,2385,AES,1,1
410,1940,AES/ECB/PKCS7Padding,2,0
411,1940,MD5,2,0
412,3159,HmacSha256,11,1
413,3159,PBEWithMD5AndDES,1,0
414,3159,ECDH,8,1
415,3159,SHA-1,9,0
416,3159,SHA1,2,0
417,3159,AES/ECB/NOPADDING,2,1
418,3159,AES/CTR/NoPadding,9,0
419,3159,HMAC,2,1
420,3159,HMACSHA256,8,1
421,3159,PBEWithSHA256And256BitAES-CBC-BC,1,0
422,3159,AES,9,0
423,3159,HmacSha1,11,1
424,3159,AES/CTR/NOPADDING,1,1
425,3159,HMACSHA512,8,1
426,3159,CRC,2,0
427,3159,HmacSHA1,2,0
428,3159,SHA-256,3,0
429,3159,HMACSHA1,8,1
430,3159,AES/CBC/PKCS5Padding,1,1
431,3159,EC,9,1
432,3159,AES/CBC/PKCS7Padding,1,0
433,3159,MD5,12,0
434,3159,AES/GCM/NoPadding,8,1
435,3159,HmacSha512,11,1
436,3979,RSA,4,0
437,3979,SHA-1,12,0
438,3979,SHA1,4,0
439,3979,HMAC,1,1
440,3979,RSA/ECB/nopadding,1,0
441,3979,AES/CBC/PKCS5PADDING,2,0
442,3979,AES,17,0
443,3979,RSA/ECB/PKCS1PADDING,2,0
444,3979,HmacSha1,3,1
445,3979,DSA,1,1
446,3979,HmacSHA256,2,0
447,3979,Blowfish/CBC/PKCS5Padding,1,0
448,3979,HmacSHA1,4,0
449,3979,SHA-256,9,0
450,3979,;,1,0
451,3979,AES/GCM-SIV/NoPadding,1,1
452,3979,EC,1,1
453,3979,AES/CBC/PKCS7Padding,7,0
454,3979,AES/CBC/PKCS5Padding,2,0
455,3979,md5,1,0
456,3979,MD5,21,0
457,3979,Blowfish,1,0
458,2855,MD5,1,0
459,1263,SHA-1,2,0
460,1263,HmacSHA1,3,1
461,1263,AES/CBC/PKCS5Padding,1,0
462,1263,MD5,2,0
463,1263,AES,4,0
464,1263,Blowfish,1,1
465,2203,SHA-384,1,0
466,2203,HmacSHA1,2,0
467,2203,SHA-256,1,0
468,2203,SHA,1,0
469,2203,SHA-512,1,0
470,2203,AES/CBC/PKCS5Padding,1,1
471,2203,MD5,5,0
472,2203,AES,1,1
473,2096,PBEWithMD5AndDES,1,0
474,2096,RSA,3,0
475,2096,[],1,1
476,2096,{},1,1
477,2096,SHA-1,2,0
478,2096,SHA1,1,0
479,2096,false,1,1
480,2096,RSA/ECB/nopadding,2,0
481,2096,AES,2,0
482,2096,0,1,1
483,2096,HmacSHA1,2,0
484,2096,AES/CBC/PKCS7Padding,2,0
485,2096,AES/CBC/PKCS5Padding,1,1
486,2096,MD5,10,0
487,1927,SHA-1,1,0
488,1927,AES/CBC/PKCS5Padding,1,1
489,1927,MD5,4,0
490,1927,AES,1,1
491,4134,RSA,10,0
492,4134,SHA1,9,0
493,4134,SHA-1,10,0
494,4134,AES/CTR/NoPadding,1,0
495,4134,PBEWITHSHAAND256BITAES-CBC-BC,1,0
496,4134,SHA,1,0
497,4134,AES,20,0
498,4134,RSA/ECB/PKCS1Padding,8,0
499,4134,HmacSHA256,4,0
500,4134,DES,3,0
501,4134,AES/ECB/NoPadding,4,0
502,4134,HmacSHA1,3,1
503,4134,SHA-256,4,0
504,4134,SHA-512,1,0
505,4134,AES/CBC/PKCS5Padding,11,0
506,4134,AES/CBC/PKCS7Padding,1,0
507,4134,DES/CBC/PKCS5Padding,3,0
508,4134,AES/ECB/PKCS5Padding,1,0
509,4134,MD5,25,0
510,4134,md5,1,0
511,4134,AES/GCM/NoPadding,1,0
512,725,MD5,1,0
513,3025,RSA,4,0
514,3025,{},1,1
515,3025,SHA-1,5,0
516,3025,SHA1,2,0
517,3025,AES/CBC/NoPadding,1,0
518,3025,HmacSHA1,4,0
519,3025,RSA/ECB/nopadding,2,0
520,3025,AES/CBC/PKCS5Padding,3,0
521,3025,AES/CBC/PKCS7Padding,2,0
522,3025,MD5,15,0
523,3025,AES,7,0
524,3025,AES/ECB/PKCS7Padding,2,0
525,2928,RSA,1,1
526,2928,SHA1,1,1
527,3127,RSA,2,0
528,3127,SHA-1,2,0
529,3127,SHA1,1,0
530,3127,SHA-256,2,0
531,3127,AES/CBC/PKCS5Padding,1,1
532,3127,MD5,12,0
533,3127,AES,2,1
534,3962,SHA-1,1,0
535,3962,SHA-256,2,0
536,1946,[],1,1
537,1946,{},1,1
538,1946,SHA1,1,0
539,1946,SHA-1,1,1
540,1946,SHA,1,0
541,1946,AES/CBC/PKCS5Padding,2,1
542,1946,MD5,10,0
543,1946,AES,2,1
544,2076,SHA256,2,0
545,2076,AES/CFB/NoPadding,2,0
546,2076,RSA/ECB/PKCS1Padding,2,0
547,2076,DES,1,0
548,2076,PBKDF2WithHmacSHA1,1,0
549,2076,DES/ECB/NoPadding,2,0
550,2076,SHA-512,1,0
551,2076,AES/CBC/PKCS5Padding,1,0
552,2076,AES,6,0
553,2076,MD5,5,0
554,4011,SHA-1,2,0
555,4011,HMAC,1,1
556,4011,SHA-256,4,0
557,4011,AES/CBC/PKCS5Padding,1,1
558,4011,AES,6,1
559,4011,MD5,4,1
560,3178,RSA,1,0
561,3178,AES/CBC/PKCS5Padding,1,0
562,3178,MD5,4,0
563,3178,AES,1,0
564,2818,RSA,1,0
565,2818,SHA-256,1,0
566,2818,AES/CBC/PKCS5Padding,1,1
567,2818,MD5,5,0
568,2818,AES,1,1
569,2987,0,1,1
570,2987,[],1,1
571,2987,{},1,1
572,2987,false,1,1
573,2987,AES/CBC/PKCS5Padding,1,1
574,2987,MD5,4,1
575,2987,AES,1,1
576,1802,RSA,1,0
577,1802,HMACSHA1,1,0
578,1802,SHA,1,1
579,1802,AES,3,0
580,1802,RSA/ECB/PKCS1PADDING,1,0
581,1802,AES/ECB/PKCS5Padding,1,0
582,1802,MD5,2,0
583,3805,RSA,3,0
584,3805,RSA/ECB/PKCS1Padding,1,0
585,3805,SHA1,1,0
586,3805,SHA-1,3,0
587,3805,HmacSHA256,1,0
588,3805,PBKDF2WithHmacSHA1,2,0
589,3805,SHA-256,13,0
590,3805,RSA/ECB/OAEPWITHSHA-1ANDMGF1PADDING,1,0
591,3805,SHA,1,0
592,3805,AES/CBC/PKCS5Padding,5,0
593,3805,MD5,5,0
594,3805,AES,5,0
595,1144,RSA,1,0
596,1144,RSA/ECB/PKCS1Padding,1,0
597,3502,AES/CTR/NOPADDING,1,1
598,3502,HmacSha1,3,1
599,3502,HmacSha256,3,1
600,3502,SHA-1,1,0
601,3502,AES/ECB/NOPADDING,2,1
602,3502,HMAC,2,1
603,3502,SHA-256,2,0
604,3502,AES/CBC/PKCS5Padding,1,1
605,3502,EC,1,1
606,3502,MD5,4,1
607,3502,AES,5,1
608,3502,HmacSha512,3,1
609,1461,AES/CBC/PKCS5Padding,1,0
610,1461,MD5,2,0
611,1461,AES,1,0
612,3349,HmacSha256,11,1
613,3349,ECDH,8,1
614,3349,SHA-1,9,0
615,3349,AES/ECB/NOPADDING,2,1
616,3349,AES/CTR/NoPadding,8,1
617,3349,HMAC,1,1
618,3349,HMACSHA256,8,1
619,3349,AES,6,1
620,3349,AES/CTR/NOPADDING,1,1
621,3349,HMACSHA512,8,1
622,3349,AES/ECB/NoPadding,8,1
623,3349,SHA-256,10,0
624,3349,HMACSHA1,8,1
625,3349,EC,9,1
626,3349,SHA-512,8,1
627,3349,AES/CBC/PKCS5Padding,1,1
628,3349,MD5,4,1
629,3349,AES/GCM/NoPadding,8,1
630,3349,HmacSha512,11,1
631,2068,AES/CBC/PKCS5Padding,1,1
632,2068,MD5,5,0
633,2068,AES,1,1
634,3392,{},1,1
635,3392,SHA-1,2,1
636,3392,SHA-256,1,1
637,3392,MD5,5,0
638,1084,AES/CBC/PKCS5Padding,1,0
639,1084,AES,3,0
640,1084,MD5,1,0
641,3912,RSA,3,0
642,3912,SHA-1,3,0
643,3912,HMAC,1,1
644,3912,HmacSHA512,2,1
645,3912,AES,10,0
646,3912,sha1,5,1
647,3912,AES/CBC/PKCS7PADDING,1,0
648,3912,DSA,1,1
649,3912,HmacSHA256,4,1
650,3912,PBKDF2WithHmacSHA1,1,0
651,3912,HmacSHA1,4,1
652,3912,SHA-256,4,0
653,3912,EC,1,1
654,3912,SHA-512,1,1
655,3912,AES/CBC/PKCS5Padding,1,1
656,3912,MD5,13,0
657,3912,md5,2,1
658,1602,AES/CBC/PKCS5Padding,1,1
659,1602,MD5,3,0
660,1602,AES,1,1
661,3105,HmacSha256,5,1
662,3105,ECDH,2,1
663,3105,AES/ECB/NOPADDING,2,1
664,3105,AES/CTR/NoPadding,2,1
665,3105,HMAC,2,1
666,3105,HMACSHA256,2,1
667,3105,AES,5,1
668,3105,HmacSha1,5,1
669,3105,AES/CTR/NOPADDING,1,1
670,3105,HMACSHA512,2,1
671,3105,HMACSHA1,2,1
672,3105,EC,3,1
673,3105,AES/CBC/PKCS5Padding,1,1
674,3105,HmacSha512,5,1
675,3105,AES/GCM/NoPadding,2,1
676,3105,MD5,4,1
677,3900,HmacSha256,13,1
678,3900,RSA,1,1
679,3900,ECDH,10,1
680,3900,SHA-1,4,0
681,3900,AES/ECB/NOPADDING,2,1
682,3900,AES/CBC/NoPadding,2,0
683,3900,AES/CTR/NoPadding,10,1
684,3900,HMAC,2,1
685,3900,HMACSHA256,10,1
686,3900,AES,7,0
687,3900,HmacSha1,13,1
688,3900,AES/CTR/NOPADDING,1,1
689,3900,SHA256,1,0
690,3900,HMACSHA512,10,1
691,3900,HmacSHA1,2,1
692,3900,SHA-256,2,0
693,3900,HMACSHA1,10,1
694,3900,EC,11,1
695,3900,AES/CBC/PKCS5Padding,1,1
696,3900,SHA-512,1,1
697,3900,MD5,9,1
698,3900,AES/GCM/NoPadding,10,1
699,3900,HmacSha512,13,1
700,3900,md5,1,1
701,3399,RSA,1,0
702,3399,SHA-1,2,0
703,3399,SHA-256,1,1
704,3399,AES/CBC/PKCS5Padding,3,0
705,3399,MD5,10,0
706,3399,AES,3,0
707,3902,ECDH,1,1
708,3902,SHA-1,5,0
709,3902,SHA1,2,0
710,3902,DH,2,1
711,3902,SHA-384,1,1
712,3902,AES/CTR/NoPadding,3,1
713,3902,DESede,2,1
714,3902,PBEWithMD5And128BitAES-CBC-OpenSSL,1,0
715,3902,HmacSHA512,2,1
716,3902,RSA/ECB/PKCS1Padding,2,0
717,3902,HmacMD5,2,1
718,3902,DSA,1,1
719,3902,HmacSHA256,2,1
720,3902,PBKDF2WithHmacSHA1,1,1
721,3902,HmacSHA1,2,1
722,3902,DESede/CBC/NoPadding,1,1
723,3902,EC,2,1
724,3902,AES/CBC/PKCS5Padding,5,0
725,3902,RSA,3,0
726,3902,RC4,6,1
727,3902,Blowfish/CBC/NoPadding,1,1
728,3902,AES/CBC/NoPadding,3,1
729,3902,AES,12,0
730,3902,SHA256,1,0
731,3902,DESede/CTR/NoPadding,1,1
732,3902,SHA-256,5,0
733,3902,SHA-512,2,0
734,3902,MD5,10,0
735,3902,Blowfish,1,1
736,3104,0,1,1
737,3104,RSA,3,0
738,3104,{},1,1
739,3104,SHA-1,1,0
740,3104,SHA1,1,1
741,3104,false,1,1
742,3104,AES/CBC/PKCS5Padding,1,1
743,3104,MD5,6,0
744,3104,AES,1,1
745,4021,HmacSha256,5,1
746,4021,ECDH,2,1
747,4021,SHA-1,2,1
748,4021,AES/ECB/NOPADDING,2,1
749,4021,AES/CTR/NoPadding,2,1
750,4021,HMAC,2,1
751,4021,HMACSHA256,2,1
752,4021,SHA,2,0
753,4021,AES,10,0
754,4021,HmacSha1,5,1
755,4021,AES/CTR/NOPADDING,1,1
756,4021,HMACSHA512,2,1
757,4021,DES,3,0
758,4021,SHA-256,7,0
759,4021,HMACSHA1,2,1
760,4021,EC,3,1
761,4021,AES/CBC/PKCS5Padding,1,1
762,4021,AES/GCM/NoPadding,2,1
763,4021,HmacSha512,5,1
764,4021,MD5,9,0
765,1966,SHA-1,1,0
766,1966,MD5,1,0
767,2799,0,1,1
768,2799,RSA,2,0
769,2799,[],1,1
770,2799,{},1,1
771,2799,SHA1,1,1
772,2799,false,1,1
773,2799,AES/CBC/PKCS5Padding,1,1
774,2799,MD5,7,0
775,2799,AES,1,1
776,700,HmacSHA256,2,0
777,4138,ECDH,8,1
778,4138,SHA-1,13,0
779,4138,SHA1,3,0
780,4138,AES/CTR/NoPadding,9,0
781,4138,HMAC,2,1
782,4138,RSA/ECB/nopadding,2,0
783,4138,HMACSHA256,8,1
784,4138,HmacSha1,11,1
785,4138,AES/CTR/NOPADDING,1,1
786,4138,RSA/ECB/PKCS1Padding,1,0
787,4138,HMACSHA512,8,1
788,4138,Blowfish/CBC/PKCS5Padding,1,0
789,4138,HmacSHA1,2,0
790,4138,SHA-224,1,0
791,4138,HMACSHA1,8,1
792,4138,AES/CBC/PKCS5Padding,5,0
793,4138,EC,10,0
794,4138,AES/CBC/PKCS7Padding,4,0
795,4138,HmacSha256,11,1
796,4138,RSA,4,0
797,4138,AES/ECB/NOPADDING,2,1
798,4138,PBEWITHSHAAND256BITAES-CBC-BC,1,0
799,4138,AES,13,0
800,4138,SHA-256,8,0
801,4138,MD5,18,0
802,4138,HmacSha512,11,1
803,4138,md5,1,0
804,4138,AES/GCM/NoPadding,8,1
805,4138,Blowfish,1,0
806,2796,SHA-1,1,1
807,2796,AES/CBC/PKCS5Padding,1,0
808,2796,AES,1,0
809,2796,MD5,2,0
810,3343,HmacSha256,11,1
811,3343,RSA,1,0
812,3343,ECDH,8,1
813,3343,SHA-1,15,0
814,3343,SHA1,2,0
815,3343,AES/ECB/NOPADDING,2,1
816,3343,AES/CTR/NoPadding,8,1
817,3343,HMAC,2,1
818,3343,HMACSHA256,8,1
819,3343,AES,15,0
820,3343,HmacSha1,11,1
821,3343,AES/CTR/NOPADDING,1,1
822,3343,sha1,2,1
823,3343,RSA/ECB/PKCS1Padding,1,0
824,3343,HMACSHA512,8,1
825,3343,SHA-256,8,0
826,3343,HMACSHA1,8,1
827,3343,EC,9,1
828,3343,AES/CBC/PKCS7Padding,3,0
829,3343,AES/CBC/PKCS5Padding,5,0
830,3343,MD5,20,0
831,3343,AES/GCM/NoPadding,8,1
832,3343,HmacSha512,11,1
833,1970,DES,4,0
834,1970,DES/CFB8/NoPadding,2,0
835,1970,MD5,1,0
836,3005,sha1,5,1
837,3005,RSA,1,1
838,3005,SHA1,3,0
839,3005,HmacSHA256,4,1
