id,libraryName,algorithm,numFindings
87,com.crashlytics.sdk.android:crashlytics,sha-384,0
88,com.crashlytics.sdk.android:crashlytics,EC,0
89,com.crashlytics.sdk.android:crashlytics,AES/CBC/PKCS5Padding,0
90,com.crashlytics.sdk.android:crashlytics,SHA-544,0
91,com.crashlytics.sdk.android:crashlytics,SHA224withDSA,0
92,com.crashlytics.sdk.android:crashlytics,HmacSha256,0
93,com.crashlytics.sdk.android:crashlytics,hmac-sha1,0
94,com.crashlytics.sdk.android:crashlytics,McEliece-CCA2,0
95,com.crashlytics.sdk.android:crashlytics,UNKNOWN/UNKNOWN/NoPadding,0
96,com.crashlytics.sdk.android:crashlytics,XTEA/CBC/PKCS5Padding,0
97,com.crashlytics.sdk.android:crashlytics,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,0
98,com.crashlytics.sdk.android:crashlytics,HMAC_SHA_512,0
99,com.crashlytics.sdk.android:crashlytics,1.2.840.113549.3.2,0
100,com.crashlytics.sdk.android:crashlytics,RSA/ECB/OAEPWithSHA-1AndMGF1Padding,0
101,com.crashlytics.sdk.android:crashlytics,SHA256withDSA,0
102,com.crashlytics.sdk.android:crashlytics,AES,0
103,com.crashlytics.sdk.android:crashlytics,XTEA,0
104,com.crashlytics.sdk.android:crashlytics,SHA-16,0
105,com.crashlytics.sdk.android:crashlytics,1.2.840.10040.4.3,0
106,com.crashlytics.sdk.android:crashlytics,CAMELLIA,0
107,com.crashlytics.sdk.android:crashlytics,IES,0
108,com.crashlytics.sdk.android:crashlytics,[null],0
109,com.crashlytics.sdk.android:crashlytics,true,0
110,com.crashlytics.sdk.android:crashlytics,SHA-256,0
111,com.crashlytics.sdk.android:crashlytics,NH,0
112,com.crashlytics.sdk.android:crashlytics,ofb(ofb),0
113,com.crashlytics.sdk.android:crashlytics,SHA512withRSA,0
114,com.crashlytics.sdk.android:crashlytics,N/A,0
115,com.crashlytics.sdk.android:crashlytics,HMAC_SHA_384,0
116,com.crashlytics.sdk.android:crashlytics,dss,0
117,com.crashlytics.sdk.android:crashlytics,HMAC,0
118,com.crashlytics.sdk.android:crashlytics,ECGOST3410-2012,0
119,com.crashlytics.sdk.android:crashlytics,PKCS12,0
120,com.crashlytics.sdk.android:crashlytics,SPHINCS-256,0
121,com.crashlytics.sdk.android:crashlytics,GOST3410,0
122,com.crashlytics.sdk.android:crashlytics,HmacSha1,0
123,com.crashlytics.sdk.android:crashlytics,GOST3411,0
124,com.crashlytics.sdk.android:crashlytics,HmacSHA256,0
125,com.crashlytics.sdk.android:crashlytics,HMACSHA512,0
126,com.crashlytics.sdk.android:crashlytics,Blowfish/CBC/PKCS5Padding,0
127,com.crashlytics.sdk.android:crashlytics,IDEA,0
128,com.crashlytics.sdk.android:crashlytics,sha-1,0
129,com.crashlytics.sdk.android:crashlytics,Rainbow,0
130,com.crashlytics.sdk.android:crashlytics,HmacSHA1,0
131,com.crashlytics.sdk.android:crashlytics,ElGamal,0
132,com.crashlytics.sdk.android:crashlytics,SHA1withRSA,0
133,com.crashlytics.sdk.android:crashlytics,SHA1withECDSA,0
134,com.crashlytics.sdk.android:crashlytics,SHA512withRSAandMGF1,0
135,com.crashlytics.sdk.android:crashlytics,HMACSHA1,0
136,com.crashlytics.sdk.android:crashlytics,HMACSHA0,0
137,com.crashlytics.sdk.android:crashlytics,SHA3-224,0
138,com.crashlytics.sdk.android:crashlytics,cast5-0,0
139,com.crashlytics.sdk.android:crashlytics,SHA3-512,0
140,com.crashlytics.sdk.android:crashlytics,sha-256,0
141,com.crashlytics.sdk.android:crashlytics,Blowfish/CBC/NoPadding,0
142,com.crashlytics.sdk.android:crashlytics,GMSS,0
143,com.crashlytics.sdk.android:crashlytics,HMAC_SHA_256,0
144,com.crashlytics.sdk.android:crashlytics,false,0
145,com.crashlytics.sdk.android:crashlytics,1.2.840.113549.2.5,0
146,com.crashlytics.sdk.android:crashlytics,[object Object],0
147,com.crashlytics.sdk.android:crashlytics,srp,0
148,com.crashlytics.sdk.android:crashlytics,SHA256,0
149,com.crashlytics.sdk.android:crashlytics,XMSSMT,0
150,com.crashlytics.sdk.android:crashlytics,DES,0
151,com.crashlytics.sdk.android:crashlytics,SHA512withECDSA,0
152,com.crashlytics.sdk.android:crashlytics,SHA256withECDSA,0
153,com.crashlytics.sdk.android:crashlytics,HmacSHA384,0
154,com.crashlytics.sdk.android:crashlytics,UNKNOWN,0
155,com.crashlytics.sdk.android:crashlytics,AES/GCM-SIV/NoPadding,0
156,com.crashlytics.sdk.android:crashlytics,PBKDF1,0
157,com.crashlytics.sdk.android:crashlytics,PBKDF2,0
158,com.crashlytics.sdk.android:crashlytics,AES/GCM/NoPadding,0
159,Okio,n/a,0
160,Okio,sha-224,0
161,Okio,SHA1,0
162,Okio,HmacSHA512,584
163,Okio,HMACT64,0
164,Okio,SHA384withRSAandMGF1,0
165,Okio,CAST5,0
166,Okio,CAST6,0
167,Okio,NONE,0
168,Okio,cast5-64,0
169,Okio,rc2,0
170,Okio,RC2,0
171,Okio,RSA,0
172,Okio,RC4,0
173,Okio,sha-512,0
174,Okio,UNKNOWNwithPKCS5S2,0
175,Okio,ECGOST3410,0
176,Okio,PBEWITHSHAAND256BITAES-CBC-BC,0
177,Okio,SHA384withECDSA,0
178,Okio,MAC,0
179,Okio,HMAC-SHA1,0
180,Okio,sha1,476
181,Okio,0,0
182,Okio,SHA256withRSA,0
